encoder.body.cls_token	torch.Size([1, 1, 512])
encoder.body.pos_embed	torch.Size([1, 245, 512])
encoder.body.template_background_token	torch.Size([512])
encoder.body.template_foreground_token	torch.Size([512])
encoder.body.search_token	torch.Size([512])
encoder.body.patch_embed.proj.weight	torch.Size([128, 8, 4, 4])
encoder.body.patch_embed.proj.bias	torch.Size([128])
encoder.body.blocks.0.norm2.weight	torch.Size([128])
encoder.body.blocks.0.norm2.bias	torch.Size([128])
encoder.body.blocks.0.mlp.fc1.weight	torch.Size([384, 128, 1, 1])
encoder.body.blocks.0.mlp.fc1.bias	torch.Size([384])
encoder.body.blocks.0.mlp.ffn_ln.weight	torch.Size([384])
encoder.body.blocks.0.mlp.ffn_ln.bias	torch.Size([384])
encoder.body.blocks.0.mlp.fc2.weight	torch.Size([128, 384, 1, 1])
encoder.body.blocks.0.mlp.fc2.bias	torch.Size([128])
encoder.body.blocks.1.norm2.weight	torch.Size([128])
encoder.body.blocks.1.norm2.bias	torch.Size([128])
encoder.body.blocks.1.mlp.fc1.weight	torch.Size([384, 128, 1, 1])
encoder.body.blocks.1.mlp.fc1.bias	torch.Size([384])
encoder.body.blocks.1.mlp.ffn_ln.weight	torch.Size([384])
encoder.body.blocks.1.mlp.ffn_ln.bias	torch.Size([384])
encoder.body.blocks.1.mlp.fc2.weight	torch.Size([128, 384, 1, 1])
encoder.body.blocks.1.mlp.fc2.bias	torch.Size([128])
encoder.body.blocks.2.norm2.weight	torch.Size([128])
encoder.body.blocks.2.norm2.bias	torch.Size([128])
encoder.body.blocks.2.mlp.fc1.weight	torch.Size([384, 128, 1, 1])
encoder.body.blocks.2.mlp.fc1.bias	torch.Size([384])
encoder.body.blocks.2.mlp.ffn_ln.weight	torch.Size([384])
encoder.body.blocks.2.mlp.ffn_ln.bias	torch.Size([384])
encoder.body.blocks.2.mlp.fc2.weight	torch.Size([128, 384, 1, 1])
encoder.body.blocks.2.mlp.fc2.bias	torch.Size([128])
encoder.body.blocks.3.norm.weight	torch.Size([128])
encoder.body.blocks.3.norm.bias	torch.Size([128])
encoder.body.blocks.3.reduction.weight	torch.Size([256, 128, 2, 2])
encoder.body.blocks.3.reduction.bias	torch.Size([256])
encoder.body.blocks.4.norm2.weight	torch.Size([256])
encoder.body.blocks.4.norm2.bias	torch.Size([256])
encoder.body.blocks.4.mlp.fc1.weight	torch.Size([768, 256, 1, 1])
encoder.body.blocks.4.mlp.fc1.bias	torch.Size([768])
encoder.body.blocks.4.mlp.ffn_ln.weight	torch.Size([768])
encoder.body.blocks.4.mlp.ffn_ln.bias	torch.Size([768])
encoder.body.blocks.4.mlp.fc2.weight	torch.Size([256, 768, 1, 1])
encoder.body.blocks.4.mlp.fc2.bias	torch.Size([256])
encoder.body.blocks.5.norm2.weight	torch.Size([256])
encoder.body.blocks.5.norm2.bias	torch.Size([256])
encoder.body.blocks.5.mlp.fc1.weight	torch.Size([768, 256, 1, 1])
encoder.body.blocks.5.mlp.fc1.bias	torch.Size([768])
encoder.body.blocks.5.mlp.ffn_ln.weight	torch.Size([768])
encoder.body.blocks.5.mlp.ffn_ln.bias	torch.Size([768])
encoder.body.blocks.5.mlp.fc2.weight	torch.Size([256, 768, 1, 1])
encoder.body.blocks.5.mlp.fc2.bias	torch.Size([256])
encoder.body.blocks.6.norm2.weight	torch.Size([256])
encoder.body.blocks.6.norm2.bias	torch.Size([256])
encoder.body.blocks.6.mlp.fc1.weight	torch.Size([768, 256, 1, 1])
encoder.body.blocks.6.mlp.fc1.bias	torch.Size([768])
encoder.body.blocks.6.mlp.ffn_ln.weight	torch.Size([768])
encoder.body.blocks.6.mlp.ffn_ln.bias	torch.Size([768])
encoder.body.blocks.6.mlp.fc2.weight	torch.Size([256, 768, 1, 1])
encoder.body.blocks.6.mlp.fc2.bias	torch.Size([256])
encoder.body.blocks.7.norm.weight	torch.Size([256])
encoder.body.blocks.7.norm.bias	torch.Size([256])
encoder.body.blocks.7.reduction.weight	torch.Size([512, 256, 2, 2])
encoder.body.blocks.7.reduction.bias	torch.Size([512])
encoder.body.blocks.8.gamma_1	torch.Size([512])
encoder.body.blocks.8.gamma_2	torch.Size([512])
encoder.body.blocks.8.norm1.weight	torch.Size([512])
encoder.body.blocks.8.norm1.bias	torch.Size([512])
encoder.body.blocks.8.attn.q_bias	torch.Size([512])
encoder.body.blocks.8.attn.v_bias	torch.Size([512])
encoder.body.blocks.8.attn.q_proj.weight	torch.Size([512, 512])
encoder.body.blocks.8.attn.k_proj.weight	torch.Size([512, 512])
encoder.body.blocks.8.attn.v_proj.weight	torch.Size([512, 512])
encoder.body.blocks.8.attn.proj.weight	torch.Size([512, 512])
encoder.body.blocks.8.attn.proj.bias	torch.Size([512])
encoder.body.blocks.8.norm2.weight	torch.Size([512])
encoder.body.blocks.8.norm2.bias	torch.Size([512])
encoder.body.blocks.8.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.8.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.8.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.8.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.8.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.8.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.8.mlp.w3.weight	torch.Size([512, 1536])
encoder.body.blocks.8.mlp.w3.bias	torch.Size([512])
encoder.body.blocks.9.gamma_1	torch.Size([512])
encoder.body.blocks.9.gamma_2	torch.Size([512])
encoder.body.blocks.9.norm1.weight	torch.Size([512])
encoder.body.blocks.9.norm1.bias	torch.Size([512])
encoder.body.blocks.9.attn.q_bias	torch.Size([512])
encoder.body.blocks.9.attn.v_bias	torch.Size([512])
encoder.body.blocks.9.attn.q_proj.weight	torch.Size([512, 512])
encoder.body.blocks.9.attn.k_proj.weight	torch.Size([512, 512])
encoder.body.blocks.9.attn.v_proj.weight	torch.Size([512, 512])
encoder.body.blocks.9.attn.proj.weight	torch.Size([512, 512])
encoder.body.blocks.9.attn.proj.bias	torch.Size([512])
encoder.body.blocks.9.norm2.weight	torch.Size([512])
encoder.body.blocks.9.norm2.bias	torch.Size([512])
encoder.body.blocks.9.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.9.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.9.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.9.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.9.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.9.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.9.mlp.w3.weight	torch.Size([512, 1536])
encoder.body.blocks.9.mlp.w3.bias	torch.Size([512])
encoder.body.blocks.10.gamma_1	torch.Size([512])
encoder.body.blocks.10.gamma_2	torch.Size([512])
